creider_primary,creider_secondary,gloss,pos,number,source_page,notes
kâ:y,,long,adj,,62,
káykáy,,better,adj,,63,
káytît,,cold,adj,,62,
kí:tikî:n,,little (in quantity),adj,,63,plural: tû:tikî:n
lê:l,,white,adj,,63,plural: lé:lac
míntílî:l,,sour,adj,,64,plural: míntílì:l
myê:,,good,adj,,64,plural: myác
ngâ:m,,clever,adj,,62,
ngátî:p,,sharp,adj,,62,
nyíkî:s,,heavy,adj,,62,
nyúmnyûm,,easy,adj,,62,
ô:,,big,adj,,64,plural: ê:c / é:ce:n / ê:ce:n
pírî:r,,"red, brown",adj,,62,
púrkéy,,"hot, warm",adj,,64,plural: púrké:e:n
sámîs,,"foul, rotten",adj,,62,
téntên,,thin,adj,,62,
tépê:s,,broad,adj,,62,
tû:y,,black,adj,,62,
û:y,,"hard, difficult",adj,,62,
aí:n,,day before yesterday,adv,,66,
ámut,,yesterday,adv,,66,
inkû:ni,,now,adv,,66,also inkû:ná:
ka:ro:n,,morning,adv,,66,
ká:skolèn,,early evening,adv,,66,
kityo,,just,adv,,67,
kwé:n,,middle,adv,,67,
mútá:y,,tomorrow,adv,,66,
mu:tyo,,slowly; sorry,adv,,67,
né:kît,,near,adv,,67,
párâk,,above,adv,,67,
rá,,today,adv,,66,also râ:ni
sâ:ng,,outside,adv,,67,
tâ:y,,"front, in front",adv,,67,
akò,,but,conj,,73,
anan,,or,conj,,73,
cá:,,"those (pl, medial)",dem,,58,
cu,,"these (pl, proximal)",dem,,58,
cu:n,,"yonder (pl, distal)",dem,,58,
ná:,,"that (sg, medial)",dem,,58,
ni,,"this (sg, proximal)",dem,,58,
ni:n,,"yonder (sg, distal)",dem,,58,
ámît,ámt-ít,food,n,sg,48,
à:r-e,à:r-ék,goats and/or sheep,n,pl,51,
à:r-wa,à:r-wé:t,young of animal,n,sg,44,
ày,ay-tà,calf of leg,n,sg,47,
ayn-à,ayn-ê:t,river,n,sg,44,
áy-wa,áy-wé:t,axe,n,sg,43,
áyw-o:s-ya,áyw-o:syèk,axes,n,pl,49,
cà:k-e:n,cà:k-e:ník,granaries,n,pl,50,
ca:m-ì:n,ca:m-í:n-tèt,lover,n,sg,45,
ce:m-ná:ntí-yá:,ce:m-ná:ntí-yà:t,Nandi woman,n,sg,46,
ce:p-lá:nk-ó:y,ce:p-lá:nk-ô:k,leopards,n,pl,49,
ce:p-sá:ké-yá:,ce:p-sá:ké-yà:t,herbalist,n,sg,46,
ce:p-térê:n-yá:,ce:p-térê:n-yâ:t,potter,n,sg,46,
ce:p-yó:s-ó:y,ce:p-yó:s-ô:k,women,n,pl,49,
ce:ré:r-ê:n,ce:ré:r-é:nîk,"babies, monkeys",n,pl,50,
cì:,ci:-tà,person,n,sg,46,
cúmp-a,cúmp-é:k,Europeans,n,pl,51,
cúmp-í:n,cúmp-i:n-tèt,European,n,sg,45,
é:y,e:y-tà,ox,n,sg,46,
ínkor-ày,ínkor-áî:k,clothing items,n,pl,49,
